SpatialPoints:
                x        y
   [1,] -82.92322 41.37764
   [2,] -88.13829 40.81926
   [3,] -82.52156 36.79319
   [4,] -79.91612 43.89658
   [5,] -88.97452 36.61858
   [6,] -63.95011 45.00312
   [7,] -89.78792 42.09586
   [8,] -92.65159 37.95953
   [9,] -80.79915 41.59187
  [10,] -81.60087 40.88690
  [11,] -70.65092 42.18562
  [12,] -89.30857 41.23030
  [13,] -93.08368 38.46458
  [14,] -89.49947 36.75020
  [15,] -84.03168 34.45754
  [16,] -79.31657 39.53044
  [17,] -83.32322 41.61912
  [18,] -88.97000 37.05822
  [19,] -90.48415 41.24652
  [20,] -84.00312 35.92454
  [21,] -91.96918 37.53778
  [22,] -80.66427 41.40271
  [23,] -88.92573 36.51839
  [24,] -78.42949 38.53629
  [25,] -89.46704 42.19961
  [26,] -90.63829 40.54012
  [27,] -88.99816 42.70682
  [28,] -72.20751 42.02817
  [29,] -78.06703 41.18627
  [30,] -91.05381 40.91490
  [31,] -87.72864 41.95230
  [32,] -70.93289 42.35459
  [33,] -89.78619 38.13659
  [34,] -87.45331 40.09360
  [35,] -89.68188 38.86074
  [36,] -88.87348 40.21599
  [37,] -89.37593 42.21217
  [38,] -92.56985 38.64160
  [39,] -82.94055 39.11147
  [40,] -76.27007 41.06752
  [41,] -88.35174 41.40187
  [42,] -63.24256 44.74428
  [43,] -77.93103 41.08482
  [44,] -78.64570 39.13064
  [45,] -71.03282 42.28303
  [46,] -82.83766 35.52455
  [47,] -69.68705 44.23266
  [48,] -83.60934 34.86716
  [49,] -87.35661 40.32353
  [50,] -82.72227 39.79388
  [51,] -88.02459 41.30023
  [52,] -82.23900 35.51640
  [53,] -87.98141 41.44613
  [54,] -89.54732 36.44966
  [55,] -83.70234 35.98737
  [56,] -83.82706 39.81476
  [57,] -88.09438 41.12697
  [58,] -83.91079 35.00619
  [59,] -89.12982 41.11235
  [60,] -88.94774 40.35400
  [61,] -85.51739 33.63211
  [62,] -71.43689 41.43497
  [63,] -78.43869 39.25314
  [64,] -89.65706 36.48408
  [65,] -76.84390 39.01886
  [66,] -89.58984 42.12435
  [67,] -89.70911 37.18114
  [68,] -90.87389 39.87241
  [69,] -90.82504 40.70201
  [70,] -79.90315 43.71058
  [71,] -88.93736 39.92659
  [72,] -79.39070 41.58825
  [73,] -91.13487 41.15056
  [74,] -79.19102 38.15408
  [75,] -90.15344 39.89058
  [76,] -77.36535 40.32140
  [77,] -83.12609 35.40007
  [78,] -88.52984 40.07813
  [79,] -82.93961 41.26794
  [80,] -78.13422 40.73351
  [81,] -84.54950 42.97313
  [82,] -70.20560 43.78816
  [83,] -87.80168 41.35165
  [84,] -94.31642 36.73968
  [85,] -90.14823 39.87808
  [86,] -87.99440 42.41664
  [87,] -90.57152 38.07687
  [88,] -91.84956 37.67816
  [89,] -72.30403 41.78800
  [90,] -86.32948 35.71924
  [91,] -82.80340 41.61486
  [92,] -90.38521 39.99239
  [93,] -74.11527 43.60271
  [94,] -82.43737 36.84944
  [95,] -79.49051 38.63641
  [96,] -90.18770 38.48295
  [97,] -90.60484 38.56571
  [98,] -70.87825 42.23179
  [99,] -79.27149 44.09355
 [100,] -88.05526 41.10358
 [101,] -85.86502 33.25546
 [102,] -82.29005 35.18447
 [103,] -71.75719 42.34827
 [104,] -86.19489 35.50242
 [105,] -88.10917 40.28211
 [106,] -92.96744 37.87694
 [107,] -79.07491 43.69525
 [108,] -83.47340 34.81631
 [109,] -92.52466 38.16446
 [110,] -89.39267 37.76303
 [111,] -89.64132 39.92621
 [112,] -83.51501 34.54612
 [113,] -90.81150 39.68074
 [114,] -83.59416 39.94874
 [115,] -76.98169 39.12426
 [116,] -84.36937 39.86762
 [117,] -63.89046 44.77960
 [118,] -77.55806 41.12835
 [119,] -87.37879 41.82590
 [120,] -87.87326 39.85179
 [121,] -89.24846 42.04092
 [122,] -77.77392 38.89638
 [123,] -92.94527 38.54049
 [124,] -90.12062 38.37258
 [125,] -73.82198 43.45517
 [126,] -82.87245 41.41369
 [127,] -79.14350 41.51405
 [128,] -89.15905 40.57603
 [129,] -87.65652 40.57934
 [130,] -78.71422 41.77466
 [131,] -89.73744 38.23896
 [132,] -76.95717 38.79229
 [133,] -82.33380 36.84377
 [134,] -87.35996 42.54305
 [135,] -88.71311 39.25356
 [136,] -83.36157 35.80749
 [137,] -86.07735 33.48330
 [138,] -82.26302 35.86111
 [139,] -93.80469 35.80805
 [140,] -79.03779 38.98434
 [141,] -94.13754 36.87127
 [142,] -90.28757 40.65159
 [143,] -90.08095 41.40638
 [144,] -93.97007 36.80731
 [145,] -78.84199 41.34140
 [146,] -89.69630 40.82532
 [147,] -83.73362 39.46970
 [148,] -87.93284 40.67750
 [149,] -80.90360 41.16197
 [150,] -72.19780 42.09470
 [151,] -88.30092 39.41612
 [152,] -91.52202 37.74271
 [153,] -91.14020 40.62206
 [154,] -83.50934 35.30949
 [155,] -89.54119 36.25913
 [156,] -82.55647 41.43229
 [157,] -94.27837 36.39037
 [158,] -73.78374 43.53470
 [159,] -79.80846 43.46070
 [160,] -87.73417 41.20180
 [161,] -87.88071 41.68840
 [162,] -73.18739 43.54184
 [163,] -79.31467 44.04580
 [164,] -84.06987 39.78712
 [165,] -83.29843 34.47087
 [166,] -88.36403 40.57758
 [167,] -71.80731 41.48724
 [168,] -89.58872 38.04025
 [169,] -76.78715 41.10370
 [170,] -84.78220 34.81619
 [171,] -79.55004 44.07798
 [172,] -90.81500 38.99020
 [173,] -78.12012 39.22241
 [174,] -86.81246 35.53963
 [175,] -88.71843 40.60047
 [176,] -87.86103 41.78034
 [177,] -69.99906 44.26080
 [178,] -90.09716 39.62510
 [179,] -92.34054 38.44127
 [180,] -86.34691 35.71011
 [181,] -73.36961 43.90488
 [182,] -89.01484 36.08541
 [183,] -88.45493 42.57149
 [184,] -89.83596 42.38256
 [185,] -87.47215 42.00482
 [186,] -73.79356 43.83855
 [187,] -87.55934 39.65586
 [188,] -73.64958 43.48403
 [189,] -86.84059 35.19451
 [190,] -88.42436 37.10826
 [191,] -87.86800 40.47481
 [192,] -77.87562 38.98965
 [193,] -88.66347 37.22064
 [194,] -90.52263 42.65946
 [195,] -87.35009 42.61671
 [196,] -79.54792 38.93541
 [197,] -83.03346 42.06083
 [198,] -87.89833 39.40168
 [199,] -89.77037 36.48729
 [200,] -83.66996 39.46606
 [201,] -86.52718 35.34650
 [202,] -76.20024 40.47959
 [203,] -89.08165 36.12214
 [204,] -88.20394 42.75530
 [205,] -78.98435 43.76113
 [206,] -90.52156 39.08135
 [207,] -83.80450 40.02019
 [208,] -71.85349 41.36400
 [209,] -77.47099 40.61961
 [210,] -89.73090 37.47125
 [211,] -87.56921 39.96477
 [212,] -78.75354 38.57269
 [213,] -77.05020 38.79571
 [214,] -90.08232 38.78882
 [215,] -90.52758 40.44626
 [216,] -89.35031 40.93030
 [217,] -88.10283 39.34865
 [218,] -94.54383 35.97919
 [219,] -79.48842 38.68647
 [220,] -90.10212 38.06421
 [221,] -86.25059 33.29066
 [222,] -89.08672 36.47761
 [223,] -89.69050 37.49675
 [224,] -89.66803 40.59403
 [225,] -77.96054 40.77987
 [226,] -88.97592 40.26935
 [227,] -69.89331 44.14109
 [228,] -63.57252 44.68303
 [229,] -78.21859 40.79966
 [230,] -85.85572 33.39610
 [231,] -86.25296 35.68315
 [232,] -71.64126 41.81101
 [233,] -79.22220 41.67873
 [234,] -83.08929 35.95010
 [235,] -85.60764 33.40860
 [236,] -83.21230 34.87307
 [237,] -82.98677 35.47780
 [238,] -81.64453 41.12679
 [239,] -90.14481 38.74301
 [240,] -87.25893 39.27969
 [241,] -86.72715 35.23519
 [242,] -79.34260 43.64808
 [243,] -94.52252 36.37546
 [244,] -77.22064 38.93027
 [245,] -82.31200 35.52608
 [246,] -63.21724 44.76841
 [247,] -86.04620 33.74018
 [248,] -83.71537 35.20936
 [249,] -89.54073 40.70461
 [250,] -88.22831 39.39133
 [251,] -88.41579 39.03951
 [252,] -82.58196 36.84642
 [253,] -80.79261 41.84502
 [254,] -89.42763 37.96151
 [255,] -77.84702 39.02404
 [256,] -79.49268 41.47810
 [257,] -77.74436 38.86604
 [258,] -87.69780 42.75050
 [259,] -63.26711 44.51535
 [260,] -72.13994 41.72614
 [261,] -89.54554 42.28422
 [262,] -79.35808 43.82733
 [263,] -88.55126 37.27074
 [264,] -77.35545 40.77099
 [265,] -89.09335 42.59069
 [266,] -89.32521 42.67544
 [267,] -79.28496 38.75756
 [268,] -89.09057 39.76640
 [269,] -84.02574 42.69629
 [270,] -81.02533 41.58227
 [271,] -83.57821 35.04069
 [272,] -90.58177 40.95729
 [273,] -89.75497 42.40754
 [274,] -89.86846 38.82303
 [275,] -79.54024 43.47873
 [276,] -77.53914 39.98645
 [277,] -82.89204 35.27707
 [278,] -90.97539 40.87393
 [279,] -82.77993 39.08932
 [280,] -88.89864 42.56078
 [281,] -93.94944 36.25819
 [282,] -93.98817 35.52952
 [283,] -90.68257 41.34378
 [284,] -88.22290 39.18562
 [285,] -73.83835 43.84896
 [286,] -85.48869 33.34421
 [287,] -88.66585 40.22559
 [288,] -88.45560 39.35577
 [289,] -88.19397 41.10283
 [290,] -82.82839 41.46068
 [291,] -90.69283 39.72697
 [292,] -79.21173 41.24726
 [293,] -77.30571 38.61014
 [294,] -89.21519 36.22296
 [295,] -82.54471 39.17002
 [296,] -84.24717 39.89803
 [297,] -94.44277 36.42406
 [298,] -89.75959 37.48397
 [299,] -90.20037 38.97106
 [300,] -85.43565 33.78589
 [301,] -90.03784 42.07413
 [302,] -92.15958 38.13521
 [303,] -88.14603 37.86709
 [304,] -92.90330 38.22850
 [305,] -89.80598 37.85279
 [306,] -86.28013 33.37827
 [307,] -79.64002 38.92320
 [308,] -90.04372 37.82639
 [309,] -88.86133 37.16483
 [310,] -82.12117 39.22348
 [311,] -91.37235 37.94610
 [312,] -81.36608 41.11631
 [313,] -91.93672 38.09845
 [314,] -79.14479 37.97120
 [315,] -80.92019 41.70659
 [316,] -88.59049 37.44675
 [317,] -81.23819 41.16188
 [318,] -69.80992 43.60993
 [319,] -94.41723 36.64535
 [320,] -84.79166 34.39508
 [321,] -70.16591 44.08447
 [322,] -89.71602 36.63059
 [323,] -79.34251 38.94361
 [324,] -90.64109 40.94146
 [325,] -88.56194 39.46797
 [326,] -87.96740 41.93132
 [327,] -91.48607 37.88872
 [328,] -90.22429 40.77833
 [329,] -90.11432 39.64455
 [330,] -79.30860 39.41370
 [331,] -88.40286 40.25884
 [332,] -69.78387 43.69100
 [333,] -77.77388 40.49474
 [334,] -69.54754 43.80157
 [335,] -77.77745 38.38422
 [336,] -79.41009 43.71722
 [337,] -82.17123 41.36107
 [338,] -89.88881 36.12909
 [339,] -81.57015 41.22893
 [340,] -90.57395 38.83757
 [341,] -91.94957 37.88130
 [342,] -86.88168 35.77315
 [343,] -89.25801 36.48089
 [344,] -87.96280 41.53960
 [345,] -94.13238 36.34446
 [346,] -81.68597 41.00897
 [347,] -88.24809 39.74018
 [348,] -94.35363 35.44556
 [349,] -63.86526 45.05204
 [350,] -94.24497 36.82158
 [351,] -83.03472 41.56735
 [352,] -78.79763 41.50049
 [353,] -63.74068 44.88899
 [354,] -78.21586 40.01904
 [355,] -69.88441 43.80717
 [356,] -85.53261 33.77334
 [357,] -89.82981 42.68469
 [358,] -94.56161 36.10091
 [359,] -89.77042 40.93384
 [360,] -76.92416 39.39395
 [361,] -90.11679 37.82219
 [362,] -89.61306 40.47805
 [363,] -79.11120 43.43844
 [364,] -88.23373 39.23375
 [365,] -90.05055 41.36657
 [366,] -84.67378 34.47915
 [367,] -78.84963 37.81194
 [368,] -82.75173 36.97255
 [369,] -90.13341 41.44618
 [370,] -86.32702 35.91632
 [371,] -81.13208 41.65440
 [372,] -90.59997 39.09973
