"x","y"
-68.7563239280366,45.2872426062671
-71.2820163247404,44.6664302289889
-67.7159349061206,44.3300483111631
-71.0390376461884,43.4055695236077
-70.2899671195872,41.5619208958249
-69.6526016723078,45.7480037840955
-69.4995249625567,44.8307712007641
-71.9687773118241,41.9210002442586
-67.5261673534322,45.4652766217474
-69.6025475733765,45.3678774674572
-70.9783082710029,43.9863300928797
-69.5608084670225,43.3670108146073
-70.4688975819474,41.4568178840719
-73.478760785594,41.6771072427241
-71.4172940139136,43.2107783436851
-67.9369824013734,46.893936458367
-69.8624582448945,40.856067236718
-70.5919550165409,43.1564698055652
-70.8688516369057,43.6939979085578
-68.971494499877,46.9968679300826
-73.0298456769762,41.2659752604738
-68.7792571950344,44.9821531635159
-70.8351720658396,41.7106240536152
-68.7895164092613,45.1649059387338
-69.5180033980381,45.4111771919185
-68.4392021881673,47.0197799210125
-68.8053845530947,46.8105120016172
-69.5530645685232,43.8251066768348
-71.0279037327743,43.1075657690258
-68.5089629538003,47.1471886389911
-72.6759720413514,42.1013209181673
-70.9120757855768,44.7846750634589
-67.4753094970945,45.0472273086065
-68.939363574104,44.3448689357668
-68.0993441213197,44.7724696816985
-72.2187178914071,41.7078983749599
-68.6605577216805,44.9652194457844
-71.3321281439161,43.4846350337051
-71.4684136566717,41.1502313767933
-72.7295041315766,41.471020107349
-67.1285058463287,45.2456395652161
-68.4952000243156,46.4444821445439
-72.7019389391452,41.7381635059676
-72.2311166878609,41.9318335629987
-73.2756961836129,41.0663917213896
-68.2885383463101,46.4387829922767
-70.488436633007,44.0613779980728
-73.4266943542157,42.2608283666
-67.4365203971449,44.8534308039777
-69.727507521313,45.1611755459818
-70.6115088815651,41.6840203595929
-69.0905931548705,44.4513247877148
-67.4339581851392,45.1000462087573
-70.6764300081002,43.8568425672936
-70.1425576051058,43.8647808830453
-72.7839312784214,41.8456542632699
-68.3439872525127,46.5364840681252
-70.1532795081752,44.3531684553057
-73.2603216762698,41.6790370910257
-68.0538062118979,44.0478255290428
-72.7254623022229,41.2716375913227
-70.3130322415828,41.1082832814637
-68.1317786749277,44.2850521398155
-67.1448844891841,45.0428245675649
-69.983964578187,43.3938176783685
-71.1171550542675,44.5910586090836
-70.3516578717227,43.7336461495082
-73.0076252171745,41.0514587089013
-68.0695235328204,45.2231390813672
-72.4659218369701,42.2052468286527
-69.5822148470421,41.4828580638393
-67.9301131647261,46.5551606738072
-70.8043871801269,43.1668967833304
-71.059890879006,41.5513712847878
-68.8377890210114,46.8459182151832
-68.7890420409891,47.0456401358548
-70.4797132191356,43.708614787082
-70.8541479622361,41.8803746017609
-71.81297991993,41.250276143326
-73.1254964590761,40.9329285050713
-70.0468528460226,41.7534236223494
-68.7495551198745,45.1984505816291
-73.7171368565968,42.1770060882351
-71.1870051776825,43.3930111265854
-70.1171928107221,41.1377126858855
-70.8671944873576,43.4181398890506
-72.7322935770716,41.1801450958135
-71.1802156273729,43.7161024839424
-70.6364423097293,43.9752159376598
-70.5611543185525,44.5170447829073
-71.4380731687922,41.1410326673517
-69.3693435515116,44.5198010974257
-68.2806816694852,47.1617638563343
-68.6992233638093,43.9953560663521
-73.3187531110967,41.8235937846661
-69.88566452485,43.4660783652192
-71.8536383616945,41.7377077134852
-69.3100696686313,45.7705849062068
-68.4767085523506,44.5973795668286
-69.5483816188351,43.4558308434031
-70.9114065566944,41.1729542562004
-70.2736586036309,43.3440160881345
-71.5188308405816,43.2286012364683
-67.6639144360169,44.7378071613819
-71.5408275130967,41.4453181316424
-68.5972652887655,43.9448537778662
-71.4613743012996,43.4505291160491
